year,rate
1960,36.4
1961,35.179
1962,33.863
1963,32.459
1964,30.994
1965,29.513
1966,28.069
1967,26.721
1968,25.518
1969,24.492
1970,23.669
1971,23.058
1972,22.627
1973,22.342
1974,22.177
1975,22.111
1976,22.125
1977,22.192
1978,22.281
1979,22.362
1980,22.406
1981,22.39
1982,22.313
1983,22.172
1984,21.958
1985,21.668
1986,21.3
1987,20.869
1988,20.393
1989,19.886
1990,19.363
1991,18.842
1992,18.332
1993,17.839
1994,17.367
1995,16.911
1996,16.457
1997,15.994
1998,15.515
1999,15.024
2000,14.528
2001,14.041
2002,13.579
2003,13.153
2004,12.772
2005,12.441
2006,12.159
2007,11.919
2008,11.716
1960,52.201
1961,52.206
1962,52.208
1963,52.204
1964,52.192
1965,52.168
1966,52.13
1967,52.076
1968,52.006
1969,51.92
1970,51.816
1971,51.691
1972,51.548
1973,51.395
1974,51.239
1975,51.092
1976,50.967
1977,50.871
1978,50.81
1979,50.786
1980,50.795
1981,50.833
1982,50.888
1983,50.951
1984,51.016
1985,51.084
1986,51.156
1987,51.237
1988,51.325
1989,51.417
1990,51.51
1991,51.603
1992,51.69
1993,51.76
1994,51.802
1995,51.804
1996,51.754
1997,51.646
1998,51.472
1999,51.229
2000,50.903
2001,50.486
2002,49.984
2003,49.416
2004,48.803
2005,48.177
2006,47.575
2007,47.023
2008,46.538
1960,54.432
1961,54.394
1962,54.317
1963,54.199
1964,54.04
1965,53.836
1966,53.585
1967,53.296
1968,52.984
1969,52.668
1970,52.376
1971,52.137
1972,51.967
1973,51.875
1974,51.861
1975,51.92
1976,52.033
1977,52.172
1978,52.314
1979,52.444
1980,52.554
1981,52.644
1982,52.721
1983,52.789
1984,52.841
1985,52.88
1986,52.907
1987,52.918
1988,52.903
1989,52.847
1990,52.722
1991,52.49
1992,52.141
1993,51.679
1994,51.123
1995,50.522
1996,49.941
1997,49.427
1998,49.003
1999,48.662
2000,48.355
2001,48.005
2002,47.545
2003,46.936
2004,46.184
2005,45.33
2006,44.444
2007,43.607
2008,42.875
1960,40.886
1961,40.312
1962,39.604
1963,38.792
1964,37.913
1965,37.008
1966,36.112
1967,35.245
1968,34.421
1969,33.655
1970,32.947
1971,32.279
1972,31.63
1973,30.985
1974,30.345
1975,29.723
1976,29.138
1977,28.606
1978,28.139
1979,27.736
1980,27.396
1981,27.114
1982,26.87
1983,26.644
1984,26.417
1985,26.172
1986,25.895
1987,25.579
1988,25.217
1989,24.801
1990,24.325
1991,23.788
1992,23.198
1993,22.562
1994,21.885
1995,21.157
1996,20.364
1997,19.51
1998,18.616
1999,17.713
2000,16.85
2001,16.081
2002,15.444
2003,14.962
2004,14.644
2005,14.485
2006,14.464
2007,14.534
2008,14.649
1960,32.321
1961,30.987
1962,29.618
1963,28.229
1964,26.849
1965,25.518
1966,24.28
1967,23.173
1968,22.23
1969,21.472
1970,20.925
1971,20.605
1972,20.484
1973,20.517
1974,20.664
1975,20.864
1976,21.055
1977,21.19
1978,21.238
1979,21.178
1980,21.008
1981,20.746
1982,20.442
1983,20.138
1984,19.86
1985,19.641
1986,19.514
1987,19.477
1988,19.509
1989,19.586
1990,19.651
1991,19.635
1992,19.489
1993,19.187
1994,18.733
1995,18.157
1996,17.515
1997,16.878
1998,16.301
1999,15.809
2000,15.412
2001,15.096
2002,14.824
2003,14.565
2004,14.309
2005,14.051
2006,13.79
2007,13.532
2008,13.281
1960,47.6112170528681
1965,46.5728755776195
1970,45.1609689663116
1975,43.6375018378612
1980,42.057755753935
1981,41.9228019639004
1982,41.188512943325
1983,40.9920665995688
1984,40.466401936249
1985,39.5535232374248
1986,39.1920156155466
1987,38.0772587866728
1988,37.5396183474098
1989,36.596644640124
1990,35.2462552813767
1991,34.3329083833427
1992,33.5952423810255
1993,32.6291750978238
1994,31.833055473083
1995,31.1509232287425
1996,30.4296826839093
1997,30.0270841807071
1998,29.5352057414438
1999,29.0731373725932
2000,28.6827961484167
2001,28.3052382804682
2002,27.9624369569944
2003,27.6700740098553
2004,27.3789713017645
2005,27.118861177008
2006,26.8553183622729
2007,26.5935165920649
2008,26.3240476335364
1960,45.924
1961,45.098
1962,44.196
1963,43.241
1964,42.253
1965,41.232
1966,40.168
1967,39.056
1968,37.906
1969,36.743
1970,35.606
1971,34.535
1972,33.562
1973,32.708
1974,31.987
1975,31.401
1976,30.936
1977,30.563
1978,30.254
1979,29.998
1980,29.811
1981,29.726
1982,29.743
1983,29.836
1984,29.954
1985,30.005
1986,29.881
1987,29.516
1988,28.875
1989,27.962
1990,26.809
1991,25.481
1992,24.087
1993,22.727
1994,21.463
1995,20.353
1996,19.43
1997,18.675
1998,18.06
1999,17.569
2000,17.168
2001,16.811
2002,16.456
2003,16.073
2004,15.65
2005,15.201
2006,14.754
2007,14.347
2008,14.004
1960,23.809
1961,23.577
1962,23.349
1963,23.13
1964,22.931
1965,22.761
1966,22.633
1967,22.552
1968,22.527
1969,22.564
1970,22.687
1971,22.922
1972,23.262
1973,23.681
1974,24.14
1975,24.569
1976,24.885
1977,25.035
1978,24.994
1979,24.761
1980,24.37
1981,23.884
1982,23.384
1983,22.935
1984,22.568
1985,22.295
1986,22.106
1987,21.961
1988,21.825
1989,21.683
1990,21.523
1991,21.338
1992,21.129
1993,20.896
1994,20.639
1995,20.353
1996,20.036
1997,19.695
1998,19.341
1999,18.983
2000,18.641
2001,18.332
2002,18.066
2003,17.849
2004,17.68
2005,17.553
2006,17.454
2007,17.364
2008,17.269
1960,35.408
1961,34.767
1962,33.792
1963,32.495
1964,30.937
1965,29.232
1966,27.515
1967,25.922
1968,24.565
1969,23.504
1970,22.767
1971,22.335
1972,22.115
1973,22.026
1974,22.031
1975,22.107
1976,22.245
1977,22.441
1978,22.68
1979,22.931
1980,23.167
1981,23.366
1982,23.515
1983,23.595
1984,23.586
1985,23.471
1986,23.239
1987,22.898
1988,22.451
1989,21.898
1990,21.215
1991,20.371
1992,19.379
1993,18.274
1994,17.114
1995,15.986
1996,14.992
1997,14.2
1998,13.655
1999,13.373
2000,13.34
2001,13.511
2002,13.799
2003,14.124
2004,14.441
2005,14.719
2006,14.947
2007,15.138
2008,15.299
2006,21.6
1960,31
1962,29.4
1965,28.6
1967,27
1970,26.2
1972,21
1975,18.4
1977,19.9
1978,18.3
1979,18.8
1980,16.5
1981,16.4
1982,15.7
1983,15
1985,14.8
1986,14.8
1987,14.8
1988,14.5
1990,20.1
1992,15.5
1995,21.6
1997,21.9
2000,21.1
2002,18.1
1960,22.4
1961,22.9
1962,22.1
1963,21.5
1964,20.5
1965,19.6
1966,19.8
1967,19.4
1968,20.1
1969,20.4
1970,20.6
1971,21.4
1972,20.1
1973,18.5
1974,17.8
1975,16.7
1976,16.2
1977,15.9
1978,15.6
1979,15.3
1980,15.3
